,generation algorithm,turn_num,L_num,L_size,L_size_std,R_num,R_size,R_size_std,boader_l,neighbor_sum,correct_path_len,turn_pos_num,dead_end_num,T_num,cross_num,straight_len_std,straight_num,gorl_depth,depth_std,depth_max,depth_mean
161,Division,14,11,94,12.0933012,5,14,0.979795897,182,25,53,25,23,17,2,93,65,52,15.32804489,56,31.91304348
162,Division,17,7,76,20.89038447,7,32,4.746642207,141,19,53,29,24,18,2,87,71,52,23.35950913,80,44
163,Division,6,7,92,15.22618582,7,36,4.882287854,167,17,33,25,27,17,4,87,71,32,9.813067629,40,24
164,Division,10,5,80,13.20605922,10,32,1.833030278,182,17,49,16,24,18,2,101,59,48,16.19327707,60,39.66666667
165,Division,17,10,72,11.03449138,4,24,4.242640687,162,19,65,15,22,20,0,99,55,64,25.0282485,82,44.36363636
166,Division,10,5,18,1.496662955,2,102,47,104,5,41,22,24,18,2,82,64,40,9.797604583,40,23.58333333
167,Division,18,8,88,23.06512519,5,20,2.529822128,135,12,53,24,27,19,3,87,71,52,12.8329993,52,29.40740741
168,Division,16,6,52,9.775252199,7,60,13.6785248,153,16,49,25,24,18,2,91,67,48,13.35311033,50,32.16666667
169,Division,9,5,92,16.65653025,6,28,5.120763832,152,10,41,29,20,12,3,97,63,40,11.70299107,44,29.2
170,Division,15,8,94,20.65036319,4,14,0.866025404,147,15,53,23,24,22,0,91,67,52,22.35073949,72,42.33333333
171,Division,14,7,64,10.89467198,9,40,4.499657051,184,18,57,18,28,20,3,87,67,56,20.00714158,78,38
172,Division,18,5,58,14.22111107,9,46,6.935327349,170,15,57,24,22,16,2,97,63,56,19.55454334,68,35.27272727
173,Division,11,6,16,0.942809042,4,104,41.56921938,92,10,41,32,23,17,2,87,73,40,11.74975365,50,31.82608696
174,Division,10,4,42,14.72243186,4,82,12.11404144,145,8,37,21,21,15,2,101,57,36,12.52009722,48,26.0952381
175,Division,15,6,102,31.76476035,5,18,3.2,118,12,41,28,20,16,1,96,64,40,24.58678507,80,45.7
176,Division,10,7,82,15.87193647,1,34,0,116,11,45,25,22,18,1,88,64,44,16.06289292,58,35.27272727
177,Division,9,3,110,38.27386692,4,10,0.866025404,95,4,41,20,24,16,3,98,62,40,19.98315263,76,50.41666667
178,Division,14,9,90,14.29840706,3,22,7.542472333,150,17,49,23,23,15,3,94,62,48,12.99934563,52,26.86956522
179,Division,13,5,84,29.6,3,32,10.87300429,103,9,45,27,24,16,3,90,68,44,12.31079021,54,33.66666667
180,Division,14,5,82,27.81078927,5,34,6.997142274,127,11,45,30,22,16,2,90,68,44,12.1943626,54,30.45454545
181,Division,11,3,12,1.632993162,6,108,34.89030429,100,10,41,28,19,13,2,99,61,40,12.85245485,54,31.15789474
182,Division,10,4,54,13.51850583,6,58,10.41899974,140,10,49,27,23,19,1,91,69,48,13.33982199,60,23.30434783
183,Division,10,7,104,19.79486637,4,16,3.464101615,145,15,41,27,21,17,1,95,65,40,12.98944277,52,28.19047619
184,Division,9,4,30,9.526279442,9,94,13.02229807,168,22,37,24,25,21,1,90,70,36,12.45638792,54,27.28
185,Division,7,5,22,1.959591794,4,98,23.68016047,141,12,41,13,23,17,2,97,53,40,12.9655644,52,31.73913043
186,Division,11,4,96,35.80502758,4,24,3.741657387,117,9,41,25,21,15,2,97,61,40,14.11902754,58,36.28571429
187,Division,10,4,16,2,5,104,35.61123418,123,9,41,26,23,17,2,80,66,40,14.78209718,52,28.52173913
188,Division,12,4,62,18.88782677,9,50,5.230489909,163,15,49,21,23,17,2,95,61,48,13.83401468,56,35.47826087
189,Division,11,4,24,1.414213562,6,100,17.07499797,153,12,37,28,21,13,3,95,63,36,12.20311844,46,28.19047619
190,Division,13,8,36,2.397915762,7,76,16.10171749,172,15,49,21,24,16,3,96,62,48,13.96399139,52,35.58333333
191,Division,14,5,90,30.03997337,5,30,4.5607017,122,11,41,27,25,21,1,86,72,40,11.03768092,44,32.64
