,generation algorithm,straights_num,turn_num,dead_end_num,T_num,cross_num,correct_path_len,turn_num_in_correct_path,border_l,neighbor_sum,L_num,L_size,L_size_std,R_num,R_size,R_size_std
193,Division,93,16,24,18,2,45,24,177,18,8,94,17.01286278,7,22,2.099562637
194,Division,105,16,20,14,2,53,20,171,12,5,62,14.93452376,6,46,9.339283817
195,Division,91,12,20,16,1,37,33,131,7,3,66,22.86190427,4,58,6.538348415
196,Division,98,13,21,11,4,49,27,151,11,6,68,10.81151649,4,44,10.04987562
197,Division,93,8,23,19,1,41,25,61,2,4,8,0,1,112,0
198,Division,99,9,21,19,0,45,22,133,16,9,112,21.20330745,1,4,0
199,Division,90,23,22,14,3,69,32,147,13,10,36,3.555277767,4,56,11.04536102
200,GrowingTree,108,15,9,7,0,57,37,113,2,3,102,31.4960315,1,2,0
201,GrowingTree,105,25,11,9,0,77,36,97,3,4,78,22.06241147,1,6,0
202,GrowingTree,101,19,9,7,0,61,44,137,1,3,90,19.79898987,2,10,1
203,GrowingTree,101,35,10,8,0,109,42,104,3,1,2,0,7,50,7.989789402
204,GrowingTree,110,9,9,7,0,41,35,116,3,0,0,0,4,120,34.75629439
205,GrowingTree,101,23,11,9,0,69,40,129,2,3,16,2.494438258,4,76,17.29161647
206,GrowingTree,103,12,12,10,0,41,36,143,3,2,30,11,4,90,28.71846096
207,GrowingTree,104,10,12,10,0,57,35,143,3,5,94,18.0930926,1,10,0
208,GrowingTree,105,18,9,7,0,57,40,140,3,2,38,15,4,66,14.92481156
209,GrowingTree,111,8,8,6,0,45,36,125,1,2,110,21,2,6,1
210,GrowingTree,101,20,13,11,0,61,36,139,2,2,6,1,3,94,20.15495528
211,GrowingTree,106,13,11,9,0,53,35,81,2,1,8,0,3,100,41.48359783
212,GrowingTree,115,12,9,7,0,45,30,137,4,5,88,24.6056904,1,28,0
213,GrowingTree,108,18,11,9,0,57,33,104,1,1,30,0,2,74,27
214,GrowingTree,100,24,10,8,0,69,43,144,3,4,84,16.2788206,2,8,2
215,GrowingTree,109,16,12,10,0,65,30,121,4,5,92,20.17523234,2,4,0
216,GrowingTree,100,20,12,10,0,61,39,106,3,4,96,30.09983389,2,4,0
217,GrowingTree,104,15,11,9,0,49,37,127,4,2,22,7,4,90,23.51063589
218,GrowingTree,109,19,12,10,0,73,30,129,2,4,44,6.08276253,2,44,18
219,GrowingTree,110,16,10,8,0,53,33,103,2,3,32,10.87300429,3,76,28.76726535
220,GrowingTree,118,23,9,7,0,109,27,103,4,3,8,0.942809042,5,44,5.741080038
221,GrowingTree,107,13,9,7,0,45,38,140,5,1,2,0,6,114,23.23072678
222,GrowingTree,110,15,11,9,0,49,31,97,2,2,8,2,3,104,23.45681611
223,GrowingTree,108,16,11,9,0,53,33,103,4,4,100,25.07987241,4,8,0
224,GrowingTree,100,19,13,11,0,61,37,100,1,3,70,28.76726535,2,30,13
225,GrowingTree,111,22,9,7,0,85,34,111,1,4,44,10.63014581,3,32,4.714045208
226,GrowingTree,109,8,12,10,0,37,30,128,3,3,92,27.19477074,1,32,0
227,GrowingTree,104,16,12,10,0,53,35,83,1,1,2,0,2,106,43
228,GrowingTree,100,16,12,10,0,49,39,119,2,1,40,0,4,72,16.91153453
229,GrowingTree,104,14,11,9,0,45,37,125,1,2,34,5,2,82,1
230,GrowingTree,101,19,14,12,0,65,34,114,3,3,14,1.885618083,4,82,26.43387978
231,GrowingTree,114,11,8,6,0,49,33,146,2,3,88,16.75974012,1,24,0
232,GrowingTree,103,29,9,7,0,81,42,74,0,1,62,0,3,18,5.656854249
233,GrowingTree,108,23,10,8,0,77,35,137,7,6,72,14.65150732,2,12,4
234,GrowingTree,105,20,6,4,0,77,46,107,2,3,22,0.942809042,2,62,9
235,GrowingTree,108,8,10,8,0,45,35,102,3,2,12,4,4,104,39.29376541
236,GrowingTree,106,20,9,7,0,81,39,92,2,2,14,3,3,66,24.0554914
237,GrowingTree,104,30,12,10,0,97,35,135,6,6,46,6.155395104,3,18,2.828427125
238,GrowingTree,98,17,8,6,0,49,49,104,3,1,2,0,4,110,35.19588044
239,GrowingTree,107,14,12,10,0,53,32,146,2,3,14,2.494438258,3,94,19.48218559
240,GrowingTree,110,13,12,10,0,57,29,114,2,2,34,15,3,70,21.06075867
241,GrowingTree,108,16,10,8,0,57,35,141,2,2,12,4,3,92,7.363574011
242,GrowingTree,103,16,14,10,1,53,33,124,4,4,90,26.58477008,1,18,0
243,GrowingTree,109,18,9,7,0,53,36,110,3,2,4,0,4,104,24
244,GrowingTree,109,8,9,7,0,49,36,92,1,2,76,34,3,36,11.43095213
245,GrowingTree,106,13,10,8,0,45,37,90,2,0,0,0,3,116,43.49201715
246,GrowingTree,113,18,9,7,0,57,32,133,3,4,98,26.50943228,2,6,1
247,GrowingTree,101,15,12,10,0,53,38,128,3,2,24,4,5,84,20.06389793
248,GrowingTree,109,12,11,7,1,45,33,137,2,1,42,0,3,74,9.843215373
249,GrowingTree,100,20,12,10,0,69,39,86,0,2,34,11,1,58,0
250,GrowingTree,106,12,14,12,0,57,29,121,5,6,100,24.94438258,2,4,0
251,GrowingTree,109,9,11,9,0,41,32,109,3,3,118,25.10422718,1,2,0
252,GrowingTree,105,9,11,9,0,41,36,132,2,1,4,0,3,116,22.05044721
253,GrowingTree,108,18,10,8,0,73,35,126,2,5,40,5.215361924,1,48,0
254,GrowingTree,112,33,8,6,0,101,35,72,0,3,42,15.57776193,1,18,0
255,GrowingTree,105,18,11,9,0,69,36,100,3,4,88,21.77154106,2,4,0
256,GrowingTree,102,11,12,10,0,53,37,107,3,4,104,32.984845,2,4,0
257,GrowingTree,102,32,13,11,0,97,35,102,1,2,10,3,4,54,8.529361055
258,GrowingTree,107,16,8,6,0,61,40,139,4,3,10,1.885618083,4,90,14.79019946
259,GrowingTree,108,14,10,8,0,49,35,104,3,2,18,3,3,94,34.49959742
260,GrowingTree,111,14,9,7,0,53,34,144,4,1,22,0,5,86,15.9298462
261,GrowingTree,109,7,9,7,0,37,36,112,3,4,122,34.30378988,1,2,0
262,GrowingTree,100,15,13,9,1,49,38,99,4,4,80,31.17691454,1,32,0
263,GrowingTree,108,11,11,9,0,45,33,150,2,3,8,0.942809042,3,108,18.18424226
264,GrowingTree,103,26,8,6,0,77,44,116,2,2,22,9,3,62,11.81336343
265,GrowingTree,105,8,10,8,0,41,38,89,3,0,0,0,4,120,39.62322551
266,GrowingTree,106,12,10,8,0,41,37,120,2,3,80,17.4610678,1,40,0
267,GrowingTree,103,17,10,8,0,53,40,127,1,2,72,4,1,36,0
268,GrowingTree,110,13,11,9,0,57,31,134,5,1,4,0,6,100,20.12185103
269,GrowingTree,108,18,11,9,0,73,33,84,1,3,66,22.68626604,2,22,7
270,GrowingTree,111,7,10,8,0,37,32,148,2,2,12,4,3,112,19.06713286
271,GrowingTree,100,13,11,9,0,53,41,100,5,1,14,0,5,94,26.33932421
272,GrowingTree,108,18,8,6,0,61,39,97,2,2,82,35,3,18,3.265986324
273,GrowingTree,103,33,9,7,0,89,42,82,0,2,14,3,3,58,21.68460796
274,GrowingTree,104,16,11,9,0,61,37,112,2,4,78,17.45709025,2,22,9
275,GrowingTree,101,23,10,8,0,69,42,109,2,2,14,5,3,78,18.18424226
276,GrowingTree,104,19,10,8,0,61,39,118,3,2,10,3,4,90,23.29699551
277,GrowingTree,108,11,11,9,0,45,33,65,1,2,114,53,1,2,0
278,GrowingTree,101,13,11,9,0,49,40,90,1,2,24,10,2,88,26
279,GrowingTree,109,12,6,4,0,45,42,129,2,2,8,2,3,108,17.66352173
280,GrowingTree,105,11,13,11,0,41,32,164,5,5,110,30.22581678,2,10,3
281,GrowingTree,101,26,13,11,0,73,36,125,3,4,80,19.59591794,3,8,0.942809042
282,GrowingTree,106,25,8,6,0,89,41,93,1,3,48,18.40289832,3,24,4.320493799
283,GrowingTree,109,9,10,8,0,41,34,149,3,4,118,18.29617446,1,2,0
284,GrowingTree,109,16,11,9,0,53,32,136,3,2,4,0,4,104,23.62202362
285,GrowingTree,102,17,11,9,0,61,39,127,3,2,24,4,5,76,16.76186147
286,GrowingTree,107,10,6,4,0,45,44,97,2,2,10,3,3,106,37.67698974
287,GrowingTree,106,17,10,8,0,65,37,142,2,3,14,2.494438258,4,82,16.51514456
288,GrowingTree,97,20,14,10,1,61,39,116,5,5,46,14.4,1,54,0
289,GrowingTree,103,13,8,6,0,41,44,132,1,2,92,16,2,28,12
290,GrowingTree,99,14,10,8,0,49,44,118,2,2,6,1,3,106,31.25522179
291,GrowingTree,110,15,9,7,0,53,35,155,5,2,16,0,5,92,15.56406117
292,GrowingTree,109,17,11,7,1,73,33,137,4,3,8,0.942809042,4,80,19.33907961
293,GrowingTree,105,13,11,9,0,45,36,110,4,1,18,0,4,98,32.13642793
294,GrowingTree,105,26,8,6,0,89,42,92,1,2,46,15,2,26,7
295,GrowingTree,113,23,9,7,0,89,32,101,1,3,12,1.632993162,2,60,8
296,GrowingTree,100,16,11,9,0,53,41,127,4,5,70,17.15808847,2,38,17
297,GrowingTree,107,15,11,9,0,69,34,140,2,1,16,0,4,76,12.68857754
298,GrowingTree,102,20,13,11,0,65,35,147,6,2,4,0,7,92,13.38899944
299,GrowingTree,116,18,7,5,0,65,33,95,1,2,64,30,2,32,4
300,Kruskal,93,7,23,17,2,33,26,175,11,4,40,10.67707825,6,88,14.99629584
301,Kruskal,90,16,26,18,3,49,24,190,21,9,82,13.10169153,6,30,3.785938897
302,Kruskal,99,13,23,19,1,49,19,198,25,6,50,8.673074554,10,62,4.770744177
303,Kruskal,94,14,20,16,1,49,30,181,12,7,74,11.24858268,5,38,8.522910301
304,Kruskal,91,13,24,18,2,41,26,146,12,5,58,17.22324011,5,62,12.22456543
305,Kruskal,94,14,22,18,1,45,26,121,5,4,36,6.08276253,4,80,30.03331484
306,Kruskal,90,10,26,18,3,33,24,156,13,5,56,12.62378707,6,72,15.40562668
307,Kruskal,94,15,23,17,2,49,25,136,12,5,42,7.939773297,6,70,21.61532378
308,Kruskal,92,6,27,17,4,33,21,173,16,7,40,4.589250973,6,88,24.78350706
309,Kruskal,93,15,22,18,1,37,27,168,11,6,80,13.0979218,5,44,8.447484833
310,Kruskal,91,12,23,17,2,41,28,190,19,8,40,3.31662479,7,80,12.26909174
311,Kruskal,92,10,23,13,4,33,29,159,9,3,62,13.59738537,6,66,11.2398102
